DB_ID,INDEX
DB00001,418
DB00002,419
DB00006,415
DB00007,651
DB00008,1303
DB00013,1400
DB00014,1404
DB00016,1402
DB00017,1403
DB00019,601
DB00022,1117
DB00023,1116
DB00026,1119
DB00030,1198
DB00034,1199
DB00035,1200
DB00042,763
DB00043,762
DB00046,768
DB00047,764
DB00051,1024
DB00054,1023
DB00056,1022
DB00059,1458
DB00063,697
DB00065,696
DB00069,695
DB00071,815
DB00072,1466
DB00073,107
DB00074,812
DB00075,813
DB00078,103
DB00080,476
DB00081,475
DB00083,477
DB00085,473
DB00087,474
DB00089,480
DB00091,587
DB00092,586
DB00098,588
DB00099,589
DB00105,245
DB00107,849
DB00108,129
DB00110,1101
DB00111,731
DB00112,730
DB00113,1093
DB00115,728
DB00120,1030
DB00122,1029
DB00126,1027
DB00136,888
DB00140,1207
DB00142,1208
DB00146,1209
DB00150,1123
DB00153,1122
DB00158,1120
DB00162,1434
DB00163,1435
DB00165,1436
DB00169,1153
DB00170,549
DB00175,1335
DB00176,1328
DB00177,1336
DB00178,558
DB00179,1338
DB00180,207
DB00181,1326
DB00182,209
DB00184,203
DB00185,204
DB00186,205
DB00187,206
DB00188,200
DB00189,201
DB00190,78
DB00191,77
DB00193,76
DB00195,75
DB00196,74
DB00197,73
DB00198,72
DB00199,71
DB00201,41
DB00202,40
DB00203,39
DB00204,38
DB00205,37
DB00206,698
DB00207,35
DB00208,34
DB00209,33
DB00210,606
DB00211,622
DB00213,860
DB00214,157
DB00215,158
DB00216,159
DB00218,153
DB00220,280
DB00221,279
DB00222,281
DB00224,282
DB00226,284
DB00227,283
DB00228,274
DB00229,426
DB00230,408
DB00231,409
DB00232,406
DB00233,407
DB00234,404
DB00235,405
DB00237,403
DB00238,410
DB00241,523
DB00242,522
DB00243,521
DB00244,1293
DB00245,524
DB00246,1271
DB00248,526
DB00250,624
DB00252,459
DB00254,462
DB00255,628
DB00256,629
DB00257,630
DB00258,631
DB00260,725
DB00261,1082
DB00262,727
DB00263,726
DB00264,721
DB00266,723
DB00267,722
DB00268,719
DB00269,718
DB00270,241
DB00271,843
DB00273,842
DB00274,846
DB00275,847
DB00276,844
DB00277,845
DB00278,238
DB00279,841
DB00280,741
DB00281,740
DB00282,739
DB00283,738
DB00284,1118
DB00285,737
DB00286,736
DB00287,735
DB00289,743
DB00290,856
DB00292,858
DB00293,859
DB00294,852
DB00295,853
DB00296,854
DB00297,855
DB00298,291
DB00300,1424
DB00301,1425
DB00302,1422
DB00303,1423
DB00304,1420
DB00305,1421
DB00308,1426
DB00309,1427
DB00312,445
DB00313,1292
DB00314,1295
DB00315,346
DB00316,1296
DB00317,353
DB00318,1288
DB00319,335
DB00320,1194
